"51","台北護理健康大學城區部","41","1","ChIJtw4OEgipQjQRUUJqkCuE2bw","25.0419761","121.5032197"
"52","台北護理健康大學科技大樓","41","1","ChIJJZjiZ4muQjQR9tvjepuSSqc","25.117523","121.5206632"
"53","高雄餐旅大學","42","16","ChIJAUcLkOYcbjQR3EH5niS-EO0","22.5632539","120.3723822"
"54","金門大學","43","21","ChIJb-VnmV-iFDQRpot-C6WTwPE","24.4481458","118.3225393"
"55","台灣體育運動大學","44","9","ChIJ05cc-2c9aTQR_-_82hLFhBk","24.1516372","120.6888596"
"56","台中科技大學","45","9","ChIJ6UcMz2g9aTQR93W4RaBGbj0","24.1504536","120.6832528"
"57","台北商業大學","46","1","ChIJrYQaoXCpQjQRlyCBKCVf4Fg","25.0418563","121.5256438"
"58","屏東大學民生校區","47","18","ChIJKXoLrowXbjQRcwpacOFZv1A","22.6642416","120.5038184"
"59","屏東大學屏商校區","47","18","ChIJTwCjux0YbjQRMIr91mQm1GI","22.659451","120.5116189"
"60","台灣戲曲學院內湖校區","48","1","ChIJ6bpYmIusQjQRfruvQAJtZ3g","25.0821882","121.5865591"
"61","空中大學","49","3","ChIJnYcH8bWoQjQREJMr5B82a8w","25.0870514","121.4687093"
"62","東海大學","50","9","ChIJB2dAOhw-aTQRaoCyT7wBPdQ","24.1815869","120.603122"
"63","輔仁大學","51","3","ChIJDSNgn8KnQjQRPcD80cC8sZw","25.0354303","121.4324641"
"64","東吳大學外雙溪校區","52","1","ChIJDTRwjyKsQjQRb1xIYPlyAJo","25.0952273","121.5457421"
"65","東吳大學推廣部","52","1","ChIJlwxryKCpQjQRT9X_fK9fvsY","25.038924","121.509998"
"66","中原大學","53","7","ChIJIfCgRxQiaDQR_7y4C2XShis","24.957537","121.2410215"
"67","淡江大學","54","3","ChIJ20tUwfivQjQRKzazlPT03AE","25.1753389","121.4500026"
"68","中國文化大學","55","1","ChIJBzv6Mt6tQjQRW3WOPKo5qD8","25.135448","121.5399074"
"69","逢甲大學","56","9","ChIJp4qYpyMWaTQRWgPDQWwU3XM","24.178816","120.646705"
"70","靜宜大學","57","9","ChIJz3rQP6sVaTQRo1R6CWdJ6os","24.2267756","120.5793531"
"71","長庚大學","58","7","ChIJIR_3XnunQjQRSAjRIIToS5I","25.0307388","121.3896892"
"72","元智大學","59","7","ChIJzT_UkFQfaDQRKzMr5ae1bhg","24.9701632","121.2674614"
"73","中華大學","60","5","ChIJ_SIGtlxKaDQR27CXjAjV6rA","24.7571075","120.952429"
"74","大葉大學","61","10","ChIJ9XYhyVw3aTQR1kN0HlJASWU","24.000073","120.596098"
"75","華梵大學","62","3","ChIJg8-pVblVXTQRxky94OeTycE","24.980779","121.692123"
"76","義守大學","63","16","ChIJaSY3OxwRbjQR3Pw2sn-fs0g","22.7271723","120.4058219"
"77","義守大學醫學院","63","16","ChIJSTFZ7u0RbjQRXiXERuR-HFo","22.763548","120.362515"
"78","世新大學","64","1","ChIJm_VJcgeqQjQRVPNIc_1gWPs","24.988664","121.543984"
"79","銘傳大學台北校區","65","1","ChIJo6b-gLCuQjQR5Xb-_ZBB29E","25.087255","121.5269672"
"80","實踐大學台北校區","66","1","ChIJHc9n2hqsQjQR57Qq0sg0-h8","25.0846197","121.5457421"
"81","朝陽科技大學","67","9","ChIJJ874X6okaTQRBanKrGxJyAc","24.069678","120.714829"
"82","高雄醫學大學","68","16","ChIJLzY2b-UEbjQR3_tkbQye9oQ","22.6473733","120.3097772"
"83","南華大學","69","13","ChIJVd4HcQ-_bjQRxKEzp_i2vG0","23.5693126","120.4943064"
"84","真理大學","70","3","ChIJhyC8xVGlQjQRqDxQ0tDN92M","25.1769173","121.4351497"
"85","大同大學","71","1","ChIJK2wJmUWpQjQRRBQQ2b863DE","25.0668881","121.5222432"
"86","南臺科技大學","72","15","ChIJpcuVKR93bjQR7_9GHp9E_Ts","23.0235764","120.2247853"
"87","崑山科技大學","73","15","ChIJUVU8ETNxbjQR1vXw_LnNGmw","22.998268","120.253104"
"88","嘉南藥理大學","74","15","ChIJa7Pec-10bjQRMhD8fFCDFsI","22.921847","120.226466"
"89","樹德科技大學","75","16","ChIJ6_sfNI4RbjQR9mZvoZOypes","22.7632038","120.3757461"
"90","慈濟大學","76","20","ChIJ02bxdq6faDQRwT6EgGbo-SY","23.9927924","121.5912738"
"91","台北醫學大學","77","1","ChIJc0oGx0qqQjQRaPgxjLJI9qw","25.025354","121.561618"
"92","中山醫學大學","78","9","ChIJNwE8JUw8aTQR0JV95gXT5UA","24.1225235","120.650412"
"93","龍華科技大學","79","7","ChIJLxezA38daDQRjNAdHRMwUjs","25.0184744","121.4026326"
"94","輔英科技大學","80","16","ChIJCfkb_oEbbjQRqSsuG8NYQ4g","22.6026893","120.3896885"
"95","明新科技大學","81","6","ChIJOyio-lQxaDQR73SlZFUcy5I","24.8641986","120.9906648"
"96","長榮大學","82","15","ChIJzWTJFGtzbjQRI7ySQbstGps","22.905029","120.27265"
"97","弘光科技大學","83","9","ChIJCw8lNswUaTQRhjHJFrhlKbc","24.2172822","120.5807518"
"98","中國醫藥大學","84","9","ChIJWy8MRWQ9aTQRAOPyHMJpOKY","24.1562767","120.6801328"
"99","健行科技大學","85","7","ChIJURfHh08iaDQRHe01BwAFMmw","24.947282","121.2290971"
"100","正修科技大學","86","16","ChIJOXuncNYabjQRwE3rK4A-5tU","22.650984","120.3489274"
"101","萬能科技大學","87","7","ChIJ7-XNHZEhaDQRZ-Y1kPIfzUA","24.9909061","121.2333651"
"102","玄奘大學","88","5","ChIJ2S1UyolKaDQRJ4iIkTDUjIM","24.7745463","120.9423235"
"103","建國科技大學","89","10","ChIJD1O1J4s4aTQR7797LDnH9GM","24.066107","120.549934"
"104","明志科技大學","90","3","ChIJqXFQS76nQjQRIJKWqB-zkbU","25.0417279","121.4206147"
"105","高苑科技大學","91","16","ChIJqxH8s4kMbjQR3PCxUY7sL00","22.840939","120.264623"
"106","大仁科技大學","92","18","ChIJXSUX8eU9bjQRMWpdoPEW9P8","22.726916","120.542329"
"107","聖約翰科技大學","93","3","ChIJkT8DF4GwQjQRNUTDK-Z247o","25.2275092","121.4515876"
"108","嶺東科技大學","94","9","ChIJRyl4S30-aTQRw-PkUK6TJKA","24.137825","120.609567"
"109","中國科技大學","95","1","ChIJxXu3uxOqQjQRTbaiuUN7E9U","24.9993265","121.5553455"
"110","中臺科技大學","96","9","ChIJz46-PUAYaTQRppa3rXcqspQ","24.173051","120.7355399"
"111","亞洲大學","97","9","ChIJa3OdqRc7aTQRyZ3IzXAdRxw","24.0461431","120.6874051"
"112","開南大學","98","7","ChIJE8ohJoIfaDQRL4b-Jkz4994","25.0112262","121.2701938"
"113","佛光大學","99","4","ChIJC_DVbEPvZzQRGp6FOOrm-KQ","24.8164113","121.7236181"
"114","台南應用科技大學","100","15","ChIJxcR_wkd3bjQRQNiICLQ28wg","23.0389432","120.2393106"
"115","遠東科技大學","101","15","ChIJiaQ2D2F6bjQRY7L61qdzDew","23.0645351","120.2944186"
"116","元培醫事科技大學","102","5","ChIJk_Mp54dKaDQR_DRQKWAIAE0","24.776337","120.9428296"
"117","景文科技大學","103","3","ChIJB1D9lrQDaDQRV04ZJKIBe8A","24.9513831","121.5095218"
"118","中華醫事科技大學","104","15","ChIJM7u2Vw90bjQRDGy4_AZ3bIU","22.9608038","120.2451253"
"119","東南科技大學","105","3","ChIJ9w0FPeiqQjQR3IVJO9lLVMM","25.0039396","121.6042031"
"120","德明財經科技大學","106","1","ChIJwWiz0GusQjQRdm2lr_nkiPo","25.0864973","121.5655655"
"121","明道大學","107","10","ChIJqzHFS85KaTQREA0NI7SjQNY","23.8693105","120.4950348"
"122","南開科技大學","108","11","ChIJUZZWqgQwaTQRWZF75jdrsXk","23.9792331","120.696843"
"123","中華科技大學","109","1","ChIJh90goz6rQjQRG_ju86ZWDJ8","25.0336571","121.6099018"
"124","僑光科技大學","110","9","ChIJ5fJWPz4WaTQRQdbt-qRFJHA","24.1890513","120.6443696"
"125","育達科技大學","111","8","ChIJvRtLlGSyaTQRXU1aIeVZTf8","24.6509745","120.8422629"
"126","美和科技大學","112","18","ChIJFxfKUFgibjQRHcruu2BFdCo","22.603895","120.560668"
"127","吳鳳科技大學","113","13","ChIJT1V1mQC-bjQRLZGkqlnjKi0","23.5360276","120.4341554"
"128","環球科技大學","114","14","ChIJmUh80XbIbjQRhnMYd_FgTHc","23.679845","120.5533425"
"129","台灣首府大學","115","15","ChIJi0CTwMV9bjQR7dEVSKCdxKk","23.1930713","120.2684501"
"130","中州科技大學","116","10","ChIJX4JfU9o2aTQR1ezg_AGpNAg","23.9579","120.604196"
"131","修平科技大學","117","9","ChIJeeSZ4DQjaTQRsZsEG7WHADo","24.095253","120.7138155"
"132","長庚科技大學","118","7","ChIJIR_3XnunQjQRSAjRIIToS5I","25.0307388","121.3896892"
"133","台北城市科技大學","119","1","ChIJ9WAXS3WvQjQRuck3rbarxWM","25.133617","121.468879"
"134","大華科技大學","120","6","ChIJDzHr0CI4aDQRJg0vPvf7eT0","24.777438","121.090208"
"135","醒吾科技大學","121","3","ChIJAaoNZfamQjQRzNNp-pu0hiU","25.0810853","121.3965327"
"136","南榮科技大學","122","15","ChIJTT2M9j2EbjQRO_9RyYY6NyY","23.323718","120.274889"
"137","文藻外語大學","123","16","ChIJoYRBThYFbjQRsS72Ukzs78M","22.6703488","120.3191403"
"138","華夏科技大學","124","3","ChIJdz0wTGkCaDQRcbT11MDya4A","24.981084","121.50752"
"139","慈濟科技大學","125","20","ChIJ357IixmfaDQRASA2I2WliOM","23.996638","121.5651"
"140","致理科技大學","126","3","ChIJdbgz-haoQjQRsOYM2G9Qb9I","25.0210986","121.4651279"
"141","康寧大學","127","15","ChIJgWcK6wvYbTQRAs4SOo_UiNM","23.0603505","120.1559952"
"142","中信金融管理學院","128","15","ChIJS1tnMP13bjQRw7cb_bBJk58","23.0639816","120.1626834"
"143","大漢技術學院","129","20","ChIJU5o5IxOeaDQRjvc0QgZmwHk","24.0392796","121.6052322"
"144","和春技術學院","130","16","ChIJNSBpX-YbbjQR9ZiqCjoMQqE","22.6080409","120.4270968"
"145","亞東技術學院","131","3","ChIJ-_IKP7ECaDQRaWUjFKdH22Q","24.9951546","121.4531795"
"146","南亞技術學院","132","7","ChIJFXnftGQiaDQRTcePXcB54bk","24.937167","121.251748"
"147","稻江科技暨管理學院","133","13","ChIJbVkPB7GbbjQRI6UXq-LslCg","23.4487766","120.2896634"
"148","宏國德霖科技大學","134","3","ChIJgzcktdACaDQR8yCQsJiJUZ8","24.972325","121.4557677"
"149","蘭陽技術學院","135","4","ChIJX_-Nwmb3ZzQRSyPeACZ6ir4","24.864987","121.817719"
"150","黎明技術學院","136","3","ChIJFW7a7EmmQjQRg0qkN7wrPZc","25.0657896","121.4200576"
"151","東方設計大學","137","16","ChIJxzvU9FMLbjQR9sYi2aEjBXI","22.8807003","120.2454082"
"152","經國管理暨健康學院","138","2","ChIJUQzyr3tOXTQRDECBovasq-w","25.1497642","121.7284558"
"153","崇右影藝科技大學","139","2","ChIJLaS0cEhOXTQRJeeSXkyRCa4","25.13236","121.75426"
"154","大同技術學院嘉義校區","140","12","ChIJseq_YkaUbjQRUEL97jcySRc","23.4697844","120.464758"
